# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0889.HK  # DATRONIX HOLD
0893.HK  # CHINAVTM MINING
0894.HK  # MAN YUE TECH
0895.HK  # DONGJIANG ENV
0896.HK  # HANISON
0897.HK  # WAI YUEN TONG
0898.HK  # MULTIFIELD INTL
0899.HK  # ZHONG JIA GX
0900.HK  # AEON CREDIT
0901.HK  # SDMC
0902.HK  # HUANENG POWER
0905.HK  # WALNUT CAP
0907.HK  # ELEGANCEOPTICAL
0909.HK  # MING YUAN CLOUD
0910.HK  # CHINA SANDI
0911.HK  # QIANHAI HEALTH
0912.HK  # SUGA INT'L
0913.HK  # HARBOUR DIGITAL
0914.HK  # CONCH CEMENT
0915.HK  # DAOHE GLOBAL
0916.HK  # CHINA LONGYUAN
0917.HK  # QUNABOX GROUP
0918.HK  # MAJESTIC DRAGON
0919.HK  # MODERNHEALTHTEC
0921.HK  # HISENSE HA
0922.HK  # ANXIANYUAN CH
0923.HK  # IWS
0924.HK  # KHOON GROUP
0926.HK  # BESUNYEN
0927.HK  # FUJIKON IND
0928.HK  # KING INTL INV
0929.HK  # IPE GROUP
0931.HK  # CHINA HK POWER
0932.HK  # SHUNTEN INTL
0933.HK  # VIVA GOODS
0934.HK  # SINOPEC KANTONS
0936.HK  # KAISA CAPITAL
0938.HK  # MAN SANG INT'L
0939.HK  # CCB
0941.HK  # CHINA MOBILE
0943.HK  # ZHONGZHENG INTL
0945.HK  # MANULIFE-S
0947.HK  # MOBI DEV
0948.HK  # ALPHA PRO H-10K
0950.HK  # LEE'S PHARM
0951.HK  # CHAOWEI POWER
0952.HK  # QUAM PLUS FIN
0953.HK  # SHAW BROTHERS
0954.HK  # CHANGMAO BIO
0956.HK  # CHINA SUNTIEN
0959.HK  # CENTURY ENT INT
0960.HK  # LONGFOR GROUP
0966.HK  # CHINA TAIPING
0968.HK  # XINYI SOLAR
0969.HK  # HUA LIEN INT'L
0970.HK  # NEW SPARKLEROLL
0974.HK  # SKL
0975.HK  # MONGOL MINING
